,Libelle,Date et heure de comptage,Débit horaire,Taux d'occupation,date,vacances,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,VISIBILITY_AVG_KM,WINDTEMP_MAX_C,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,est_ferie,year_2021,year_2022,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,wday_Monday,wday_Tuesday,wday_Wednesday,wday_Thursday,wday_Friday,wday_Saturday,wday_Sunday,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
0,AV_Champs_Elysees,2021-11-01 03:00:00+00:00,1222.0,42.87945,2021-11-01,0,15.0,10.0,23.0,11.0,14.0,12.0,0.2,10.0,8.0,0.0,4.0,7.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,AV_Champs_Elysees,2021-11-01 04:00:00+00:00,1033.0,44.35278,2021-11-01,0,15.0,10.0,23.0,11.0,14.0,12.0,0.2,10.0,8.0,0.0,4.0,7.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,AV_Champs_Elysees,2021-11-01 05:00:00+00:00,824.0,20.16222,2021-11-01,0,15.0,10.0,23.0,11.0,14.0,12.0,0.2,10.0,8.0,0.0,4.0,7.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,AV_Champs_Elysees,2021-11-01 06:00:00+00:00,710.0,12.2,2021-11-01,0,15.0,10.0,23.0,11.0,14.0,12.0,0.2,10.0,8.0,0.0,4.0,7.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,AV_Champs_Elysees,2021-11-01 07:00:00+00:00,947.0,40.57222,2021-11-01,0,15.0,10.0,23.0,11.0,14.0,12.0,0.2,10.0,8.0,0.0,4.0,7.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,AV_Champs_Elysees,2021-11-01 08:00:00+00:00,1150.0,60.34889,2021-11-01,0,15.0,10.0,23.0,11.0,14.0,12.0,0.2,10.0,8.0,0.0,4.0,7.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,AV_Champs_Elysees,2021-11-01 09:00:00+00:00,1164.0,52.065,2021-11-01,0,15.0,10.0,23.0,11.0,14.0,12.0,0.2,10.0,8.0,0.0,4.0,7.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,AV_Champs_Elysees,2021-11-01 10:00:00+00:00,1046.0,62.80611,2021-11-01,0,15.0,10.0,23.0,11.0,14.0,12.0,0.2,10.0,8.0,0.0,4.0,7.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,AV_Champs_Elysees,2021-11-01 11:00:00+00:00,942.0,77.85389,2021-11-01,0,15.0,10.0,23.0,11.0,14.0,12.0,0.2,10.0,8.0,0.0,4.0,7.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,AV_Champs_Elysees,2021-11-01 12:00:00+00:00,783.0,66.825,2021-11-01,0,15.0,10.0,23.0,11.0,14.0,12.0,0.2,10.0,8.0,0.0,4.0,7.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
